date,yyyymmdd,meanU,meanV,meanLTS,wdCor,meanWS,maxWS,std_uv,ish_u,ish_v,ish_LTS,meanWD,ish_wd,ish_ws,year,month,prRatio
2005-02-22,20050222,-1.8866394,-2.2817142,13.611083,47.41341781616211,3.3783507,7.1287937,1.5843732,-1.7155719853509197,-2.253882932439807,13.34301177891795,39.58570332678477,37.27704355101753,2.8325210520072677,2005,2,0.16666666666666666
2005-02-23,20050223,-0.1779184,4.1571546,13.666425,44.8446044921875,4.335543,7.547605,1.2840896,-1.0253966179718976,3.8074546912759164,13.384764214096073,177.54934383104023,164.92712488127376,3.9431141817435607,2005,2,0.03333333333333333
2005-02-24,20050224,-0.19718057,-2.3615472,14.726973,126.38339233398438,4.892013,7.3029447,3.4372766,-2.1809693215490222,-3.1691499648148147,14.737530410606382,4.772917196468654,34.535261708728996,3.8470948364998416,2005,2,0.5
2005-02-25,20050225,-6.8049664,-4.946421,14.389475,28.017555236816406,8.546447,11.689509,1.7203085,-7.791418570547745,-4.935906680881494,14.331565779966988,53.987197159516825,57.64551576069272,9.223306245801819,2005,2,0.8
2005-02-26,20050226,-8.701245,-8.7331295,16.329391,12.618247985839844,12.390873,13.369447,1.0325387,-9.372253179011029,-8.689516269252776,16.49941898176829,44.895216909151316,47.164756244440014,12.780720740439135,2005,2,0.9
2005-02-27,20050227,-6.0760603,-1.7500702,14.34691,63.15361022949219,6.98109,11.8954935,2.4802136,-5.695848221052799,0.6540796211401608,13.896048096515655,73.93216404649064,96.55083494666997,5.733280658406772,2005,2,0.8
2005-02-28,20050228,-4.238622,-11.123708,15.592922,12.7852783203125,11.929824,14.162802,1.3300748,-4.528468168032009,-11.595589813001002,15.191972230009716,20.85904239637179,21.332318754562095,12.448482922037199,2005,2,0.6666666666666666
2005-03-01,20050301,-9.611273,-4.1707115,14.258961,21.012950897216797,10.612192,13.104837,1.8000581,-11.248698365356445,-5.125125272924417,13.702568640547433,66.54207051115935,65.50506940075363,12.361234727078898,2005,3,0.7333333333333333
2005-03-02,20050302,-4.009577,-0.748864,14.158336,80.96674728393555,6.0774145,8.537253,3.4761095,-6.742869393707906,0.3565929725742277,14.123887843112945,79.4208198690697,93.02723601474952,6.7522919226505715,2005,3,0.8666666666666667
2005-03-03,20050303,-2.4428685,-14.772239,15.964785,10.053863525390625,15.045598,17.811304,1.6223587,-2.1037536514912483,-15.251271849463146,15.869612406869253,9.389958597643925,7.8537923744693785,15.395683565609868,2005,3,0.8333333333333334
2005-03-04,20050304,-3.6601782,-10.673196,14.060348,22.083351135253906,11.400905,13.793412,1.5157847,-3.0315726837043813,-10.459209557198845,13.288968193857832,18.928471562763917,16.164083452395317,10.889696850600673,2005,3,1.0
2005-03-05,20050305,-1.3603102,-11.49533,16.054007,15.321632385253906,11.8887205,13.302743,1.932838,-0.6014164615326019,-12.121495802305859,15.849126058085123,6.748762537336262,2.8404407697969987,12.136406479906684,2005,3,0.26666666666666666
2005-03-06,20050306,-3.4390428,-4.4852557,18.063892,46.467872619628906,5.8530927,8.712631,1.6475632,-2.6370305283376423,-4.777526085507708,18.01077864018758,37.4789692353543,28.897191286490397,5.456985019687274,2005,3,0.0
2005-03-07,20050307,-3.6142893,1.2975395,15.639827,65.76653289794922,4.457353,6.1314907,1.7678559,-3.3183672479613633,1.1649106418197168,15.498456573430378,109.74827310013899,109.34359030421894,3.5168989174793603,2005,3,0.0
2005-03-08,20050308,-2.9670336,3.9418707,12.815909,55.221649169921875,5.443376,7.542162,1.719537,-2.8376169504534405,4.135671003453572,12.69944422222519,143.0313389463721,145.54472808014685,5.015560248497406,2005,3,0.06666666666666667
2005-03-09,20050309,-2.281366,6.3103228,12.006854,50.38111114501953,7.1573,7.8934927,1.6960313,-2.661032985791213,6.693449399915696,11.942639930071515,160.12359574491109,158.3193196154274,7.2030105803546265,2005,3,0.26666666666666666
2005-03-10,20050310,1.6195728,8.353863,12.609363,15.866813659667969,8.672466,11.143351,1.6227891,0.7924094071799878,9.225521958213811,12.38654730676524,190.97188530455293,184.90926736264402,9.259490702520983,2005,3,0.23333333333333334
2005-03-11,20050311,-2.48755,-7.3558946,15.82704,26.593093872070312,7.916276,13.15749,2.7821896,-3.438189092872628,-8.1566303053983,15.480246915299734,18.684044426768594,22.856433622738393,8.851653075967803,2005,3,0.5666666666666667
2005-03-12,20050312,-5.168449,-12.939324,19.700834,15.836372375488281,14.00034,15.023401,1.1090175,-4.94501416715527,-13.142605886463164,19.591870723670958,21.7736112035021,20.61922442119038,14.042124290870756,2005,3,1.0
2005-03-13,20050313,-3.7662222,-11.076935,19.785248,23.02275848388672,11.850595,13.128902,1.3609959,-2.8032060748586716,-11.443665941271464,19.602805013882953,18.778331822988946,13.763976439706283,11.781997049462415,2005,3,0.3333333333333333
2005-03-14,20050314,-4.1349654,2.0597146,15.907288,57.818016052246094,5.2065067,6.7718897,1.819684,-3.8136023400332144,2.3049067841474216,15.08842557484309,116.47887549641786,121.14838613238231,4.456024920432517,2005,3,0.13333333333333333
2005-03-15,20050315,-4.418168,4.419598,16.666662,60.4906005859375,6.977698,8.0524,2.2591934,-4.466164753053668,5.004552933813727,16.823011391896568,135.0092710020822,138.25362938968607,6.707620865013356,2005,3,0.23333333333333334
2005-03-16,20050316,-3.6374688,4.8849006,17.405668,74.52449035644531,7.1029596,11.08984,2.756937,-3.4507935790799484,5.076016218123114,17.329534167060853,143.32733366054208,145.79122540772136,6.13790819188983,2005,3,0.0
2005-03-17,20050317,-2.9799106,-6.658307,18.046082,28.577186584472656,7.409537,8.902914,1.0323181,-2.1513721880645793,-6.300893009546278,17.796962344589236,24.110797143071466,18.85191883628454,6.658051892958399,2005,3,0.1
2005-03-18,20050318,-6.6463323,-10.620299,20.609018,12.948280334472656,12.562542,15.232451,1.042763,-6.017359698903404,-10.391941862024943,20.883332092676795,32.0389099087576,30.072597687646578,12.008375136116182,2005,3,0.26666666666666666
2005-03-19,20050319,-5.0506454,-1.9196445,19.199636,23.399017333984375,5.56948,8.914713,1.7079458,-4.438660966171267,-1.5630977429552093,19.01619644825236,69.18925147628772,70.60001756709292,4.705845909785414,2005,3,0.03333333333333333
2005-03-20,20050320,-4.450106,-1.3822986,17.05603,36.89567184448242,4.9002776,7.069022,1.4262131,-3.669102507055284,-0.9745301825807855,16.48185856085968,72.74408289151287,75.12541448877596,3.7963169367217366,2005,3,0.0
2005-03-21,20050321,-3.1142664,5.201566,16.966917,51.82887268066406,6.574976,9.958474,2.0163918,-3.1716988396437964,5.21881538020388,17.088953783218386,149.09032367429415,148.71114811703865,6.107021164368957,2005,3,0.0
2005-03-22,20050322,1.0523797,5.194002,16.010323,177.81678771972656,5.8520246,9.139244,2.1995983,1.6163960975842424,6.4721123484668786,15.85088740038554,191.45389360391619,194.02264497515273,6.670905080681558,2005,3,0.6333333333333333
2005-03-23,20050323,-2.8973405,-10.888874,19.37108,11.937385559082031,11.316325,14.4443655,1.6524572,-2.8427701368686398,-11.883326207995099,19.538068347902936,14.900172826540569,13.453655345448283,12.21862446499995,2005,3,0.3333333333333333
2005-03-24,20050324,-5.0588403,-11.651657,18.191011,20.20514678955078,12.800405,14.076718,1.1168085,-4.4257481266091725,-11.641277233983356,18.069198018638613,23.469206220889248,20.815661980910647,12.454179303295893,2005,3,0.2
2005-03-25,20050325,-5.7756624,-0.6575746,17.955818,33.93980407714844,6.1635804,8.763874,1.7604525,-5.459283244490942,-0.4981996757152878,17.511471633603417,83.50469110040143,84.78578197349174,5.48196830166523,2005,3,0.03333333333333333
2005-03-26,20050326,-4.0912075,6.265304,16.184948,41.78764343261719,7.88058,9.513972,1.9397538,-4.552221138184864,6.888618913554506,16.35266862504832,146.85569457749216,146.54198816074364,8.256863074262402,2005,3,0.06666666666666667
2005-03-27,20050327,0.97601223,7.6167603,15.546273,37.763816833496094,7.998609,10.530778,2.2489407,0.8973725650831845,8.51534392017492,15.616286616313936,187.30209249997478,186.0157975815379,8.562497275878338,2005,3,0.5666666666666667
2005-03-28,20050328,-2.050659,-2.1778626,15.361299,105.97903060913086,4.8429947,7.2375894,2.8435552,-2.8087608068423338,-3.573141410486217,15.235451924453734,43.27693015711057,38.170039332825866,4.544939692601545,2005,3,0.36666666666666664
2005-03-29,20050329,-5.8544784,-6.452229,17.061943,26.26264190673828,8.839925,11.753476,2.1280642,-7.584696431968693,-7.747946828973131,17.372713322565712,42.21926469376831,44.38998089465943,10.842430540691208,2005,3,0.8666666666666667
2005-03-30,20050330,-6.7516274,-3.239381,17.115566,17.84621810913086,7.5341363,8.608633,0.74435663,-6.670382205343248,-2.9323598105497326,17.03048395650482,64.3686516076105,66.26927891836482,7.286476022322939,2005,3,0.8666666666666667
2005-03-31,20050331,-7.9102216,1.7866019,14.3572,23.852890014648438,8.242557,9.912168,1.3487701,-9.227786059617358,2.4056558830161143,14.353736671446484,102.72726977097324,104.61161481654432,9.536205523663932,2005,3,0.7666666666666667
2005-04-01,20050401,-4.51444,4.6122212,15.065716,33.532684326171875,6.7904763,10.298408,2.46989,-5.871658720611568,5.646211324947991,15.032936017953238,135.61383177009964,133.87865248102304,8.14592403950005,2005,4,0.4
2005-04-02,20050402,-0.11404399,-9.369269,15.915725,19.03619384765625,9.620543,14.008247,2.3485012,1.3675108105376554,-10.451414845596961,15.293118048248292,0.6973773804111261,352.54550730991525,10.540500846340363,2005,4,0.06666666666666667
2005-04-03,20050403,-4.763801,-10.744953,14.004846,20.502769470214844,11.8381195,13.5823765,1.2197258,-4.303546432514832,-11.064921096244811,13.173498787450155,23.910220478959076,21.252851406134823,11.872362476059035,2005,4,0.0
2005-04-04,20050404,-5.475389,-3.6253939,17.56904,11.136844635009766,6.666442,9.742227,1.5783205,-4.973809294158938,-3.6533329978300735,17.545083447987874,56.49044745490184,53.702193506084654,6.171354866453226,2005,4,0.0
2005-04-05,20050405,-4.153088,6.2334976,17.482569,53.80359649658203,8.064571,11.744384,2.34049,-3.946878418666839,6.437469929388681,17.344928975873312,146.32633403080695,148.4871139795453,7.551083918453135,2005,4,0.13333333333333333
2005-04-06,20050406,-1.9034066,7.176816,16.409986,37.10620880126953,7.7328625,9.607302,1.642967,-2.3089286859517126,7.66533660959307,16.913981078392027,165.14620831454067,163.23681261885633,8.00553165100098,2005,4,0.2
2005-04-07,20050407,-2.3569286,6.326354,14.268393,48.531654357910156,7.0266438,8.147267,1.4965221,-2.912991690869016,6.879352412307106,14.262832258490246,159.56676098023496,157.0502664924001,7.470676689817832,2005,4,0.0
2005-04-08,20050408,-3.7238157,6.343318,13.741231,51.558509826660156,7.7720666,10.987655,1.96315,-3.930372586435001,6.299402885172526,13.634696086367292,149.5851311513183,148.03881426669494,7.424978476596394,2005,4,0.0
2005-04-09,20050409,-1.6610998,8.009794,13.953357,34.14418029785156,8.390077,10.7291975,1.6574488,-2.357811541726432,8.322952592775978,14.14625265966797,168.2838742892427,164.18308972419004,8.650480629878016,2005,4,0.0
2005-04-10,20050410,-1.1332911,0.28609112,16.453804,156.51988220214844,4.101962,7.615983,2.7162797,-1.7283913554516692,-0.23600558007871775,15.974341404827117,104.16789349968451,82.22455502687166,1.7444297955000512,2005,4,0.36666666666666664
2005-04-11,20050411,-1.4064324,1.0402204,16.802267,143.2089385986328,3.9635298,5.4856153,2.5732574,-1.8762485747845896,1.542139932117789,16.05290528944015,126.48723459906398,129.41771894163594,2.4286836526426128,2005,4,0.13333333333333333
2005-04-12,20050412,-1.0793955,-4.912702,18.887701,29.585609436035156,5.550574,9.957183,2.8549788,-1.136368511433916,-5.348132913338972,18.542984464500424,12.391855438193716,11.995774503799566,5.467527691060936,2005,4,0.9
2005-04-13,20050413,-4.7768455,-7.0047626,20.22449,13.19122314453125,8.511666,10.1489935,0.9625133,-4.450058755783719,-7.10064670089976,20.701838817942303,34.29173972965893,32.07585576150265,8.379869121944923,2005,4,0.5
2005-04-14,20050414,-5.49711,-3.2925966,16.481503,22.698837280273438,6.56911,8.566731,1.2454405,-5.702545115358354,-3.229226752266246,16.557450746615093,59.07971255839101,60.47806986699479,6.553390436274144,2005,4,0.36666666666666664
2005-04-15,20050415,-6.0984817,-4.197455,16.034933,13.99862289428711,7.486275,10.160645,1.1435678,-5.741890340845745,-4.195182903879166,16.093991515474954,55.46119221054309,53.84710908921403,7.111178825152529,2005,4,0.0
2005-04-16,20050416,-7.4642587,-1.4383613,14.550306,40.83905792236328,7.932829,10.090004,1.7925351,-8.086348614524839,-1.0973532872053813,14.677409779802957,79.09280862991818,82.27191777739154,8.160466785213224,2005,4,0.3
2005-04-17,20050417,-6.7357507,2.019666,14.37449,45.876041412353516,7.192713,10.659126,1.8818412,-8.179440539644865,2.3520639440493594,14.756948028790793,106.69097765568392,106.04301517234694,8.510901969737574,2005,4,0.36666666666666664
2005-04-18,20050418,-4.167794,2.8188872,14.702139,123.6358642578125,6.491868,12.380048,3.6670914,-3.1053998938789165,6.867613777589159,14.836452994061787,124.07245123823196,155.66845262639384,7.537083487598875,2005,4,0.16666666666666666
2005-04-19,20050419,-0.91502625,5.309075,14.648104,71.89134216308594,6.124659,9.296108,2.3982825,-0.4683502958895359,6.970550399626408,14.656842832931519,170.22106718666123,176.1560821538477,6.986266876765566,2005,4,0.13333333333333333
2005-04-20,20050420,-3.2813323,-0.53557307,15.255373,45.21596145629883,3.4524333,4.240174,0.6932579,-3.0652341076059346,-0.27512680060879247,15.210091040976204,80.73002849120024,84.87103593980777,3.0775566429952157,2005,4,0.23333333333333334
2005-04-21,20050421,-1.8323255,2.9910614,13.4977865,56.90191650390625,3.8326914,4.998768,1.1530366,-1.7823181050567647,3.0207486607720053,13.537377374491376,148.50834740808995,149.45832030194242,3.507360873815097,2005,4,0.0
2005-04-22,20050422,-2.3873293,4.4555984,13.99493,35.140113830566406,5.1952076,5.636601,0.83041066,-2.4980576588198335,4.887406318969092,14.04326089651362,151.81739685328267,152.92745515747947,5.488809761094608,2005,4,0.23333333333333334
2005-04-23,20050423,-1.083275,0.18026319,14.784176,152.59659576416016,2.8309429,5.377117,1.8860831,-0.0896057514486357,-0.3032142934598927,14.571393442211152,99.44777668106866,16.463440198330545,0.3161773212155745,2005,4,0.5666666666666667
2005-04-24,20050424,-2.2911594,0.90842813,14.53593,46.688079833984375,2.7329104,3.8340898,0.94548297,-2.651606233554518,0.8761761278303102,14.537220827925363,111.62796792628933,108.28521932759793,2.7926153019714146,2005,4,0.3
2005-04-25,20050425,-2.4168699,0.11778925,13.865604,82.33242416381836,3.3035855,6.142608,1.6555364,-2.9585113911584244,1.0119534378544548,13.713202626341502,92.79017560522215,108.88315938724833,3.126793791090101,2005,4,0.8
2005-04-26,20050426,-3.4647114,-1.603627,13.73668,56.20818328857422,5.522575,7.692362,3.0913959,-7.135554098790485,-2.371457970180672,14.28650465791321,65.16314148604835,71.61608696381711,7.519304834963078,2005,4,0.7
2005-04-27,20050427,-2.6525686,0.33179766,14.143343,102.60346603393555,3.7417834,5.957208,2.0309505,-4.523128876176196,-0.4573234958454788,14.303779665723164,97.12983530712012,84.22657138228567,4.546189570437123,2005,4,0.03333333333333333
2005-04-28,20050428,-0.22941329,5.251898,14.193232,33.16905212402344,5.388208,7.644212,1.4252043,-1.4784948780051872,5.028613595700902,14.483564181259155,177.49879705946933,163.61579885434958,5.241459891972419,2005,4,0.16666666666666666
