yyyymmdd,CS,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY,FT,NE,SNE,SWF,SSWF,DS,AQIN,AQIC,AQIS,week-synoptic
19800505,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800506,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800507,0,0,0,0,0,0,0,1,1,0,0,1,1,9,9,9,9,0
19800508,0,0,0,0,0,0,0,1,1,0,0,1,1,9,9,9,9,0
19800509,0,0,0,0,0,0,0,1,1,1,1,1,0,9,9,9,9,0
19800510,0,0,0,0,0,0,0,1,1,0,0,1,0,9,9,9,9,0
19800511,0,0,0,0,0,0,0,1,1,0,0,1,0,9,9,9,9,0
19800512,0,0,0,0,0,0,1,1,0,0,0,1,0,9,9,9,9,0
19800513,0,0,0,0,0,0,1,1,0,0,0,1,0,9,9,9,9,0
19800514,0,0,0,0,0,1,1,1,0,0,0,1,0,9,9,9,9,0
19800515,0,0,0,0,0,1,1,1,0,1,0,1,0,9,9,9,9,0
19800516,0,0,0,0,0,1,1,1,1,1,1,1,0,9,9,9,9,0
19800517,0,0,0,0,0,1,1,1,0,1,1,0,0,9,9,9,9,0
19800518,0,0,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19800519,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800520,0,0,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19800521,0,0,0,0,0,0,1,1,1,1,0,0,0,9,9,9,9,0
19800522,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800523,0,1,0,0,0,1,1,1,1,0,0,1,1,9,9,9,9,0
19800524,0,1,0,0,1,1,1,1,0,0,0,1,1,9,9,9,9,0
19800525,0,0,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800526,0,0,0,1,1,1,1,1,0,1,1,1,0,9,9,9,9,0
19800527,0,0,0,0,1,1,1,1,1,0,0,1,1,9,9,9,9,0
19800528,0,0,0,0,0,1,1,1,1,0,0,1,1,9,9,9,9,0
19800529,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800530,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,9,0
19800531,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,9,0
19800601,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,9,9,0
19800602,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,9,9,0
19800603,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800604,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800605,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800606,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19800607,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,9,9,0
19800608,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800609,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800610,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800611,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
