date,yyyymmdd,meanU,meanV,wdCor,meanWS,maxWS,std_uv,ish_u,ish_v,meanWD,ish_wd,ish_ws,year,month,prRatio
2008-04-19,20080419,-7.428313,0.25561568,20.196781158447266,7.608523,9.15146,1.1226777,-7.198669597248077,-0.08693247832290091,91.97082749765025,89.30811909930105,7.199194484533055,2008,4,0.26666666666666666
2008-04-20,20080420,-5.570695,3.9021406,31.005027770996094,7.0267005,9.975309,1.3507224,-5.591484275410331,3.8543805034917216,125.01033738103547,124.57967931424616,6.791240348261729,2008,4,0.36666666666666664
2008-04-21,20080421,-4.6858673,6.1403093,34.171897888183594,8.085305,11.597365,2.3212078,-6.177147457756674,7.419484038960139,142.65158403851478,140.22067116199287,9.654319971870313,2008,4,0.7333333333333333
2008-04-22,20080422,-1.3411976,-0.20049687,128.92047119140625,5.64639,10.420829,4.1593065,-1.822916302271498,2.0360414003200358,81.49776269953333,138.16115819686206,2.732853532281663,2008,4,0.36666666666666664
2008-04-23,20080423,-2.3275037,-13.20234,12.290176391601562,13.50732,15.294175,1.5893104,-1.8929040026238793,-13.651537838139856,9.998210797593487,7.894221039815449,13.78214681786962,2008,4,0.26666666666666666
2008-04-24,20080424,-4.399481,-8.1049,9.143135070800781,9.255381,10.733754,0.840671,-3.780239316588404,-8.210261896634421,28.493879135489294,24.722694719102094,9.038728323276887,2008,4,0.2
2008-04-25,20080425,-2.6492074,-1.0032564,42.60539245605469,3.2525635,5.1304755,1.3402009,-2.6362580246572507,-0.9154819593327057,69.2582925956398,70.84964006178393,2.790692313823471,2008,4,0.1
2008-04-26,20080426,-5.0474176,-1.2977717,31.097675323486328,5.452695,8.468572,1.6005777,-5.113744778769813,-1.1297826524645482,75.58067175423886,77.54173401843462,5.2370597193659485,2008,4,0.0
2008-04-27,20080427,-5.031931,2.9490166,57.99040222167969,6.357082,8.393665,1.8963685,-5.211553496669767,3.201995959753353,120.3728881716873,121.56670533330458,6.1166222684523905,2008,4,0.26666666666666666
2008-04-28,20080428,-6.3224487,-1.1066843,30.809978485107422,6.638427,9.588694,1.6753929,-8.44852784856796,-2.0937748355938632,80.07150526784062,76.0809865523376,8.704109137079708,2008,4,0.5
2008-04-29,20080429,-7.606092,1.1883503,12.024765014648438,7.734915,10.658775,1.5832486,-9.819390053841902,1.1293660756901134,98.87991240541362,96.56098086059427,9.884123064916228,2008,4,0.4
2008-04-30,20080430,-0.21209846,3.5993423,70.40882873535156,3.8185804,5.7781763,1.3857291,-0.9055068111464144,3.7953171320838908,176.6276311027509,166.58093399351878,3.9018424773588745,2008,4,0.4
