,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
20080120,25.125,27.16666667,18.16666667,25.95833333,35,34.75,41.375,35.16666667,36.54166667,33,34.70833333,31.08333333,30.08333333,37.08333333,30.375,,40.70833333,37.95833333,29.08333333,46.04166667,38.75,47.41666667,36.41666667,,50.66666667,48.83333333,31.875,43.75,47.20833333,55.13043478,54.54166667,46.875,52.58333333,43.70833333,48,51.66666667,60.83333333,49.91666667,52.79166667,44.125,32.54166667,67.54166667,46.72222222,,,,63.33333333,73.66666667,62.86956522,70.45833333,84.5,76,61.58333333,66.04166667,74.29166667,78.04166667,77.83333333,72.125,,7.291666667,11.58333333,11.5,12.375,14.75,11.70833333,45.95833333,50,57.58333333,33.75,82.04166667,47,8,,
20080121,11,13.16666667,6.875,13.125,11.625,15.08333333,,12,,,,,17.625,,17.79166667,,,14.79166667,13.95833333,,,,15.125,23.58333333,23.29166667,29.16666667,22.91666667,24.375,,,,,38.54166667,34.41666667,33.375,43.875,50.875,37.5,44.70833333,37.16666667,20.83333333,58.29166667,48.41666667,55.29166667,,,50.79166667,,61.08333333,66.625,76.16666667,67.66666667,61.79166667,,,73.91666667,72,47.04166667,,7.208333333,13.41666667,13,2.75,12.875,8.416666667,20.29166667,21.25,46.75,14.79166667,,38.83333333,8.833333333,,
20080122,11.70833333,14.7,6,8.458333333,10.875,9.333333333,,,10.20833333,6.666666667,9.625,14.16666667,,,17.73913043,,,,,14.125,13.33333333,20.75,8.875,19.45833333,18.58333333,20.45833333,27.04166667,27.66666667,20.95833333,28.08333333,27.70833333,23.875,26.33333333,17.16666667,21.41666667,,35.70833333,,,20.45833333,12.125,37.79166667,29.58333333,33.45833333,29.08333333,31.33333333,50.875,53.375,48.875,53.375,,58,45.08333333,40.54166667,47.5,56.79166667,59.04166667,,,4.75,12.08333333,,2.958333333,11.29166667,6.458333333,,18.375,40.29166667,13.625,57.29166667,,8.041666667,,
20080123,,15.25,,,,10.75,10.41666667,8.5,12.91666667,10.125,10.20833333,,14.20833333,,15.625,,,,17.625,20.29166667,10.83333333,,5.125,23.54166667,20.91666667,,19.875,,25.45833333,23.875,25.41666667,24.125,27.125,21.20833333,23.45833333,36.41666667,,21.41666667,28.70833333,25.20833333,,42.5,32.625,37.54166667,35.375,39.33333333,63.33333333,58.29166667,54.375,58.91666667,88.5,68.375,51.08333333,54.20833333,58.66666667,,68.875,57.29166667,,,12.54166667,10.5,3.083333333,,,21.83333333,19.83333333,,,67.875,41.83333333,8.791666667,,
20080124,45.95833333,,45.45833333,29.20833333,36.25,38.25,33.25,31.29166667,31.20833333,38.08333333,25.83333333,,44.25,45.16666667,,,,,49.125,45.54166667,33.33333333,52.20833333,21.66666667,,,34.625,,23.5,38.66666667,28.45833333,,32.91666667,,41,,34.58333333,42.29166667,39.33333333,48.25,,34.95833333,,,48.16666667,45.625,47.875,,52.29166667,53.79166667,55.875,74.33333333,68.70833333,,56.29166667,61.875,,61.20833333,48.41666667,,5.625,,9.25,4.791666667,23.5,24.25,,42.66666667,34.70833333,47.79166667,62.54166667,36.375,,,
20080125,16.25,18.95833333,13.33333333,10.39130435,,,16.91666667,17,,12.75,14.95833333,25.79166667,25.375,24.41666667,23.20833333,,,18.5,,18.29166667,16.04166667,,,24.33333333,21.16666667,25.66666667,20.16666667,27.29166667,,38.45833333,,30.04166667,32.30434783,,30.58333333,48.66666667,51.83333333,31.83333333,41.75,33.70833333,,,45.08333333,,53.41666667,,83.29166667,87.66666667,,,114.625,81.66666667,76.79166667,79.20833333,91.45833333,92.5,87.375,73.45833333,,5.416666667,9.083333333,10.625,3.083333333,14.04166667,8.791666667,28.91666667,,63.91666667,22.20833333,94.83333333,54.16666667,10.41666667,,
20080126,8.416666667,6.125,2.333333333,3.083333333,5.458333333,7.958333333,9.041666667,8.25,6.25,5.5,6.875,11.625,12.58333333,11.08333333,13.25,,,8.875,,10.41666667,12.41666667,12.66666667,10.875,17.04166667,13.58333333,22.29166667,11.54166667,19.58333333,19.375,25.54166667,22.875,20.125,23.29166667,,,31.875,,17.79166667,23.41666667,17.16666667,7.166666667,,26.875,32.125,27.70833333,,53.83333333,54.70833333,,62.41666667,74.125,67.29166667,50.25,60.95833333,72.04166667,71.16666667,67.20833333,44.125,63.29166667,2.458333333,6.333333333,8.791666667,2.625,7.666666667,4.583333333,,15.66666667,35.16666667,7.791666667,70,,8.833333333,,
20080127,3.666666667,2.416666667,,,2.791666667,3.875,3.25,2.291666667,4.791666667,3.75,7.041666667,,9.583333333,7.25,9.333333333,,,6.25,,9.291666667,10.04166667,10.54166667,3.291666667,12.70833333,9.541666667,16.16666667,13.41666667,12.95833333,20.25,15.83333333,17.04166667,19.125,20.125,15.75,17.58333333,23.29166667,22.33333333,12.75,19.41666667,15.16666667,8.166666667,31.125,22.16666667,29.33333333,25,29.54166667,46.04166667,48.29166667,50.08333333,59.875,82.25,72.29166667,44,52.375,56.125,62.875,62.41666667,40.875,68.75,2.583333333,6.125,6.041666667,2.5,4.125,1.916666667,10.25,12.16666667,27.66666667,7.583333333,63.45833333,23.625,5.708333333,,
20080128,6.875,,,11.20833333,,,16.08333333,17.58333333,6,,12.41666667,24.5,22.58333333,20.83333333,14.58333333,,,6.083333333,,10.33333333,15.25,14.125,17.47826087,16.125,15.45833333,22.375,8.291666667,23.79166667,,,,,26.79166667,,,41.70833333,37.25,20.70833333,28,21.16666667,9.25,40.95833333,31,35.91666667,32.08333333,37.83333333,59.41666667,56.56521739,50.83333333,60.95833333,82.125,72.08333333,47.58333333,,58.29166667,,67.41666667,53.75,98.5,2.625,5.958333333,11,3.208333333,6.916666667,3.166666667,30.82608696,17.20833333,40.29166667,23.91666667,,37.5,4.708333333,,
20080129,8.458333333,6.875,3.75,,8.583333333,11.70833333,11.875,12.08333333,11.45833333,,8.208333333,19.08333333,14.20833333,13.33333333,15.5,,,11.375,10.70833333,13.83333333,14.41666667,15.83333333,10.25,18.375,13.625,19.5,,,,30.875,,28.08333333,30.95833333,19.91666667,17.41666667,,34.75,25.41666667,34.91666667,24.66666667,12.20833333,42.95833333,32.54166667,40.75,40.375,41.20833333,48.16666667,53.79166667,51,56.58333333,64.625,58.54166667,49.16666667,52.66666667,61.125,60.875,59.41666667,43.16666667,55.79166667,27.29166667,7.041666667,11.16666667,,,,,16.875,37.45833333,15.20833333,,,6.833333333,,
